Code,A000270,A005930,A000660
Name,기아,삼성전자,SK하이닉스
20250626,386899,3519459,2140342
20250627,381433,3554537,2074598
20250630,378310,3496074,2133037
20250701,385337,3519459,2085555
20250702,390412,3554537,2038073
20250703,390803,3729925,2034421
20250704,386899,3700694,1975981
20250707,384947,3607153,1979634
20250708,386899,3589615,2059988
20250709,388851,3531152,2052683
20250710,390803,3566229,2169562
20250711,393536,3659770,2151300
20250714,402125,3653924,2191477
20250715,390412,3724079,2180519
20250716,388460,3782542,2162257
20250717,391193,3899467,1968676
20250718,389632,3922852,1965024
20250721,387680,3963776,1990591
20250722,381823,3858543,1961372
20250723,414228,3881928,1965024
20250724,409933,3858543,1968676
20250725,406419,3852697,1943109
20250728,411885,4115780,1913889
20250729,412666,4127472,1917542
20250730,431015,4244398,1924847
20250731,399392,4174242,1997896
20250801,393536,4028085,1884670
20250804,401344,4074856,1884670
20250805,395878,4086548,1924847
20250806,397440,4022239,1888322
20250807,397440,4121626,1913889
20250808,397830,4197628,1873712
20250811,396659,4150857,1950414
20250812,397440,4156704,1965024
20250813,402906,4203474,2030768
20250814,404858,4185935,2019811
20250818,399002,4092395,1954067
20250819,406029,4092395,1921194
20250820,410324,4121626,1866407
20250821,405639,4127472,1789706
20250822,409152,4174242,1833535
20250825,408762,4180089,1895627
20250826,402125,4109933,1910237
20250827,404077,4127472,1899280
20250828,412666,4069009,1961372
20250829,413056,4074856,1965024
20250901,415789,3952084,1870060
20250902,418522,4039778,1902932
20250903,417741,4080702,1917542
20250904,417741,4098241,1939457
20250905,416180,4063163,1997896
20250908,409543,4098241,2023463
20250909,411885,4180089,2103818
20250910,413837,4244398,2220696
20250911,416180,4291168,2242611
20250912,413447,4408094,2399667
20250915,397050,4472403,2417929
20250916,395878,4641945,2542113
20250917,394317,4571789,2436192
20250918,398611,4706254,2578638
20250919,396659,4659484,2578638
20250922,397830,4881642,2564028
20250923,401344,4951797,2637077
20250924,402125,4992721,2611510
20250925,398221,5033645,2604205
20250926,391193,4869950,2458106
20250929,393145,4922566,2549418
20250930,393145,4905027,2538460
20251001,392755,5027799,2629772
20251002,406810,5203187,2889097
20251010,392755,5518887,3126507
20251013,394707,5454577,3031543
20251014,400173,5355191,3005976
20251015,405248,5553964,3086330
20251016,434529,5711814,3305477
20251017,437652,5723506,3400441
20251020,447022,5735199,3546540
20251021,452098,5700121,3499058
20251022,461077,5764430,3517320
20251023,448974,5641658,3495405
20251024,448584,5776123,3725511
20251027,448194,5963204,3908134
20251028,443509,5817047,3805865
20251029,452098,5875510,4076147
20251030,453659,6085976,4149196
20251031,468105,6284749,4083452
20251103,459516,6495215,4529052
20251104,446632,6132746,4280685
20251105,433358,5881356,4229550
20251106,437262,5799508,4331819
20251107,429844,5723506,4236855
20251110,443899,5881356,4426783
20251111,452879,6050898,4521747
20251112,463029,6027513,4507137
20251113,460687,6009974,4470613
20251114,456783,5682582,4090757
20251117,458344,5881356,4426783
20251118,447022,5717660,4163806
20251119,447022,5641658,4105367
20251120,442728,5881356,4171111
20251121,445070,5542272,3805865
20251124,433748,5653351,3798560
20251125,434139,5805354,3791255
20251126,441947,6009974,3827779
20251127,445070,6050898,3973878
20251128,445461,5875510,3871609
20251201,438433,5893048,3930048
20251202,456783,6045052,4076147
20251203,463029,6109361,4032317
20251204,469666,6144438,3959268
20251205,482550,6337366,3973878
20251208,490358,6401675,4214940
20251209,483331,6337366,4134586
20251210,481769,6313980,4287990
20251211,479817,6273056,4127281
20251212,491139,6366597,4171111
20251215,484112,6126899,4046927
20251216,471618,6009974,3871609
20251217,474351,6308134,4025012
20251218,470057,6290595,4032317
20251219,472399,6214594,3995793
20251222,472790,6460137,4236855
20251223,469276,6518600,4266075
20251224,472399,6495215,4295295
20251226,467714,6840145,4375649
20251229,472790,6986302,4675151
20251230,475523,7009688,4755505
20260102,470838,7512468,4945433
20260105,478646,8073710,5084226
20260106,478255,8120480,5303374
20260107,504804,8243252,5420253
20260108,487625,8114634,5522522
20260109,520030,8126327,5434863
20260112,504804,8114634,5471387
20260113,530961,8044479,5391033
20260114,558290,8202328,5420253
20260115,595379,8412794,5471387
20260116,589914,8705108,5522522
20260119,661750,8728493,5580961
20260120,639886,8488796,5427558
20260121,671900,8740186,5405643
20260122,642619,8903882,5515217
20260123,620756,8892189,5602876
20260126,605920,8892189,5376423
20260127,599283,9324814,5843938
20260128,584448,9494356,6143440
20260129,604749,9394969,6289539
20260130,595770,9383277,6640175
20260202,586009,8792803,6063086
20260203,601236,9792516,6625565
20260204,612167,9886057,6574431
20260205,609825,9313121,6150745
20260206,593037,9272197,6128830
20260209,600455,9728207,6479467
20260210,603968,9693129,6399113
20260211,631688,9810055,6282234
20260212,649256,10441453,6486772
20260213,640667,10593456,6428332
20260219,663702,11107929,6530601
20260220,670729,11113775,6932372
20260223,674243,11283317,6946982
20260224,679318,11692557,7341448
20260225,765599,11897176,7436412
20260226,804250,12744887,8028111
20260227,802298,12657193,7750523
20260303,711722,11406089,6859323
20260304,611777,10067291,6201880
20260305,649647,11201469,6873933
20260306,651989,11002696,6749749
